review,sentiment
Awesome chicken burger D D ,1
Bad taste,0
Awesome,1
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
Food is very yummy and tasty Serving facilities are also very good Very nice and spacious restaurant Healthy place to visit with family,1
bad quality,0
Ausum place to chill Great music great hukka and good food  Must try here  The staff was very courteous and responsive  Ambience is amazing,1
Great food,1
I didnt get the food i ordered,0
The mocktails were good We ordered pork ribs which was well prepared But the sizzler was not so great Overall it was ok ok on the better side,1
"A very small beautiful place
I really loved it
Everything was so beautiful that I loved every bit of it I visited Church Street Lasagna was OMG",1
"I ordered 2 non veg breakfasts chicken medley and BLT sandwich
The 2 non veg items were good chicken medley was okay
BLT was also good",1
I ordered Large but you guys gave me medium and regular pizza this not fair,0
Food was good and place so nice and live music so great and live counter more items so great and service was excellent by rajkuma ,1
"Homely ambience
Nice welcome by owner
Chicken nuggets and french fries are good
Burger is also good
Wash rooms are average needs improvement ",1
too cold not good wont prefer again delivery guy was also rude,0
the delivery took a long time and burger was not hot,0
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
not bad,0
"This place is the go for the Sweet tooth  Perfect ambience less crowd and food served at time What more to ask for
Ambience 45
Taste  45",1
taste was not good and doesnt worth,0
A nice place to spend the evening and a variety of menu The prices are ok but feel so expensive Good to try out the variety of desserts Free wifi,1
The chillie paneer and Alfredo pasta were amazingly awesomeLoved the taste,1
Shubhankar is a nice good server The place is amazing with good food and music I will surely come back again As I have visited this place twice,1
it was gOodBt it wouldbe betterif you have provide some snackstoo,1
writing review is waste,0
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
pizza was not baked properly,0
"Good taste
Best in quality
Best in service
Best restaurent in jayanagar for having fast food
Must visit and enjoy the taste",1
the delivery took a long time and burger was not hot,0
The delivery boy took a lot of time to deliver the order and also the hot coffee was not packed in clean condition and delivered completely cold,0
"Best places for ur Sunday breakfast s
Always crowded need to wait few min s
Scrumptious food
Homely environment
It has become my Sunday BF adDa now",1
I didnt get the food i ordered,0
Items missing in the order Poor quality Worst experience,0
not bad but they didnt follow my instructions,1
bad Patty was spoiled it smelled bad and shake was just water and a Oreo thrown in it,0
Its a really good place to spend time  really loved it It was our first visit me we loved it really wellcostumes for decorating was good ,1
Grab a bite sip a coffee blow rings All at one place The service is pretty good and coffees are yum An ideal place to hangout with your gang,1
awesome food and great delivery,1
I love cafe coffee day coffeeFirst time I ordered food and coffee for home deliveryPacking was amazing and food was tasty and fresh too  ,1
It was non spicy,0
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
The pasta wasnt great The sandwich was awesome,1
thank you for management team for positive response the chocolate brownie is too yum appreciated service,1
nice and tasty,1
A great place for a breakfast with the family  Went with friends all enjoyed the food overall a great experience ,1
Items missing in the order Poor quality Worst experience,0
Awesome place and super duper embience One of the best places to take your loved ones Although we just had coffee there but it was really good,1
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
Worst hot chocolate in the history Please dont name it Dark Chocolate Theres nothing chocolate about it let alone Dark Chocolate,0
The pesto was really bitter and the pasta wasnt worth the price,0
Great food,1
it got delieverd very late because food was totally cold  nachos n burger was spoiled totally,0
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
Their shawarma is the best Havent really tried any other dishes of theirs yet Quantity is pretty less compared to the prices An average place,1
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
"This place is the go for the Sweet tooth  Perfect ambience less crowd and food served at time What more to ask for
Ambience 45
Taste  45",1
the food wasnt good,0
wet n worst food worst food of my life,0
Moderately good super expensive food Even 2 extra olives in a burger is charged 15 bucks Missed subway,0
nice foodawesome Peri Peri fries ,1
Loved itspecialy the shezwan paneer sandwichmy favorite mUST visit guys  bourbon shake loved it ,1
This place is really awesome I love the food and ambience This is one the best cafe in the city  Staff is very polite generous and proactive,1
Loved the ambience menu aroma service and food here One of the nice place to visit in kormangla N yeah dis iz a lively place Must must try,1
Items missing in the order Poor quality Worst experience,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
Very slow service Limited variety Taste very ordinary Nothing unique Very less range for veg customers I may not recommend for pure vegetarians,0
I ordered 2 cups of ginger tea and got 2 cups of black tea,0
Ausum place to chill Great music great hukka and good food  Must try here  The staff was very courteous and responsive  Ambience is amazing,1
Its a good taste Chinese food I have visited several times I have enjoyed fantastic all type of food is nice taste and I like to visit every time,1
ordered crunchy chicken but received veg burger,0
"Easy to locate
VFM 355
Taste 55
Yummy cheesyyy fries 
Delicious pasta
Theyre a must try 
Loaded nachos and green fries are average",1
"This place is the go for the Sweet tooth  Perfect ambience less crowd and food served at time What more to ask for
Ambience 45
Taste  45",1
Good place to hang out with friends and family Great food and snacks    ,1
"Smoky pasta was all my favoriteLove to recommend
French fries was all good
Pizza could have been more better
Services here are quite responsive",0
Pathetic Waste of money,0
very bad taste,0
Very slow service Limited variety Taste very ordinary Nothing unique Very less range for veg customers I may not recommend for pure vegetarians,0
Ordered prawn biriyani The quality of rice and prawn was good It was light and tasty The quantity of gravy and raita can be increased though ,1
Pizzas were very good especially the thin crust Packaging was also nice,1
"Food tastes good Food is healthy Staff are courteous Not much in terms of variety
The veg has two options Indian and Global Ditto for non veg",1
Complete waste of moneyBoth the paneer pakoda and the burger was completely burnt severely disappointed,0
,1
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
"I found that cafe its new cafe but food is amazing and staff is freindly
I suggest go there and taste the food not expansive also
Great time",1
The burgers are not good No taste at all,0
"I ordered a walnut brownie but I got a chocolate brownie
Please revert",0
Missing items ordered,0
Very good sheesha and the pasta creamy garlic too cheesy its Soo yummy the fish grilled cheese fish ufff Soo yummy food addicted to this place,1
nice foodawesome Peri Peri fries ,1
taste and even the packing of the food is good,1
its not pizza its bisket pizza,0
Great coffee good burger bad sandwitch ,0
too bad taste,0
Cozy place Been here a couple of timesTasty and fresh food Pastas are very tasty More options could be introduced light on the pocket as well,1
The mocktails were good We ordered pork ribs which was well prepared But the sizzler was not so great Overall it was ok ok on the better side,1
Just crust All the way,0
not bad,0
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
Tried out this place the other day Not worth the price The burgers didnt taste that good,0
The Ice cream wasnt even cold it was warm,0
Pastas are really good  Burgers are fine  Sandwiches are bearable  Outdoor seatings are nice  Service is fine  Ambience is simple and good ,1
good,1
This is a small cute cafe on bel road This place is good to grab a quiet snack with family and friends Really loved the chicken salad here,1
not up to expectations dint enjoy the burger  disappointed,0
not up to expectations dint enjoy the burger  disappointed,0
"We ordered all American burger and sandwiches it was not cooked properly The taste was bad
Dont ever order from this place
Its too pricey too",0
I had been to this place  had Typical English Breakfast and it was awesome to have it I recomment to come here and enjoy the foodThank you,1
food quality is very bad please never order pizza from this place,0
Ur food was delivered cold for me,0
Decent place to have Hookah and good times with your friends not very expensive A budgeted place  Food was very nice so as the ambience ,1
"A very small beautiful place
I really loved it
Everything was so beautiful that I loved every bit of it I visited Church Street Lasagna was OMG",1
Food and drinks are good Pizza was too delicious But the place lacks peoper ambience and service is a bit slow Otherwise its a good place to hit,1
this place is usually known for capachinno and cold coffee has intention to visited this place since long time finally I got it,1
Really bad taste and packaging Burnt sausage,0
the choco lava cake was cold very disappointing,0
too bad taste,0
Spaghetti Not edible,0
"I ordered a walnut brownie but I got a chocolate brownie
Please revert",0
Pepsi I got the small sizeand I had ordered for the medium size,0
Ausum place to chill Great music great hukka and good food  Must try here  The staff was very courteous and responsive  Ambience is amazing,1
,1
Worst hot chocolate in the history Please dont name it Dark Chocolate Theres nothing chocolate about it let alone Dark Chocolate,0
"Rating the lowest for allowing people to smoke 
Bombay cutting chai was good 
Bun wasnt good 
Kesar Badam ka Garh doodh was ok",0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
non veg smell in veg food,0
late delivery,0
Great food,1
Ordered garlic rice with kadai panner Food was inedible They share fake post by them self for a hype Waste of time n money Eat at ur own risk,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
I dont know why ccd has not put any tissue paper,1
Had ordered Paneer Biryani and mushroom sandwich The taste of both item was okay Packing of food was okay Presentation of food wasnt great,0
"One of the biggest mistake I made in my Life
Please ignore this place or else u will also join our victim list
Too costly for this place",0
Pizza can be improved ,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
I have ordered one pizza and they send me one pizza its not at all worth,0
the death by chocolate cake is too hard and on an whole it sucks,0
wedges were burnt,0
V,1
great,1
good food,1
Amazing Walnut Brownie,1
I didnt get the food i ordered,0
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
Very good sheesha and the pasta creamy garlic too cheesy its Soo yummy the fish grilled cheese fish ufff Soo yummy food addicted to this place,1
Tried out this place the other day Not worth the price The burgers didnt taste that good,0
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
Good place for a casual evening with friends Good white sauce pasta and cheesy fries Would be a better place if they serve drinks as well,1
Great place its a bunglow house converted into a nurceryantique shopcafe The plant collection in the nurcery is amazing and food also is great,1
I have ordered one pizza and they send me one pizza its not at all worth,0
Package was very bad half my coffee had leaked,0
This place is really awesome I love the food and ambience This is one the best cafe in the city  Staff is very polite generous and proactive,1
Pizzas were very good especially the thin crust Packaging was also nice,1
"Good place to visit with friends Price of food is little bit high but taste is good
I ordered pasta shake fish and chips and fries Must visit",1
awesome food and great delivery,1
The yummy new menu has been added with noodles loaded with starters This place has Top notch sandwiches wraps fresh juices etc Got a try,1
Ordered chilli paneer It was the worst chilli paneer Ive ever had,0
Excellent tea cheese omlette a must try Dont forget the masala maggi,1
too bad taste,0
veg burger taste was awful,0
Loved the ambience menu aroma service and food here One of the nice place to visit in kormangla N yeah dis iz a lively place Must must try,1
waste of money,0
writing review is waste,0
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
Decent place to hangout ambiance wise pretty OK can play uno and other indoor games there Food was 35 but the service was pretty quick,1
on time,1
It has been an wonderful experience at this place The service was quick the staff was very courteous and the English Breakfast was amazing,1
the delivery took a long time and burger was not hot,0
"My next home Best staff friends aff
Food is sikeee
Manager is fuckin killer lit man
Raids happen but not in hashtag the best reason to visit
",1
"Best places for ur Sunday breakfast s
Always crowded need to wait few min s
Scrumptious food
Homely environment
It has become my Sunday BF adDa now",1
Loved the ambianceVery cosy and comfortable Might work on the food a bit but overall its a nice place A perfect hangout place for friends,1
It is a very lively and good cafe Good menu listings Its a great place to hang out with friends and have a good cup of tea on a weekend evening,1
best Zomato order for me till date,1
Super smallys as always Glad to know they are now at hsr and centrally located Polite staff and great food Would come back again for sure,1
not up to expectations dint enjoy the burger  disappointed,0
"This is one great place for english breakfast which I am surprised that I missed out some how for so long
Very good food
Nice service
Nice place",1
worst packing ever would never want to eat from this place again your rating was good and i thought it be worth ordering but extremly dissapointed,0
Awesome place to hangout Love it Friendly staffs Great pocket friendly food Quality not compromised new favourite place in Koramangala,1
Very nice food Ambience is also very calm Loved the white sauce pasta and the veg indian meal The location of the restaurant is also apt,1
"Overpriced
Doesnt give you an authentic bill and on explains the 20 tax as food tax
Poor Service",0
Quantity can be increased,1
The place is prefect if you want to have a nice long conversation or have your alone time and work or read something and have coffee and some snacks,1
"Found this place randomly not everything on menu is available The suggestions at the best
Taste 8 on 10
Ambiance 10 on 10
Service 10 on 10",1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
the food wasnt good,0
dint get what was ordered and got less in quantity have ordered many times,0
"I will restrict this review to paramater ratings
Food 2 out of 5
Beverages 2 out of 5
Price 1 out of 5
Service 2 out of 5
Ambiance 2 out of 5",0
,1
the food wasnt good,0
non veg smell in veg food,0
Good quality food The dosa and chicken curry is yummy The dosa and veg curry is yummier Overall good food Consistent quality Keep it up guys,1
Most wanted place in ORR Good place for hangouts Ambience is simple and neat Loved the food pepper chicken Overall everything here is great,1
ossam,1
Odered grilled sandwich and they gave toasted bread with uncooked cheese inside,0
One of the best places to hangout in Koramangala Pocket friendly  great ambience pleasant service and delicious foodhighly recommended,1
The burger didnt contained cheese at all,0
wet n worst food worst food of my life,0
did not bring order properly,0
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
Awesome,1
Ur food was delivered cold for me,0
,1
Potato wedges taste too good,1
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
bad Patty was spoiled it smelled bad and shake was just water and a Oreo thrown in it,0
Disappointing place for a Hookah parlour Needs a serious makeover with menu and ambience Food seems pretty OK but the portions are very small,0
the food wasnt good,0
Just crust All the way,0
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
Ur food was delivered cold for me,0
superb  tasty pizza far better than others in this price range,1
"We ordered all American burger and sandwiches it was not cooked properly The taste was bad
Dont ever order from this place
Its too pricey too",0
Food was not tasty,0
Loved the classy ambience and their mocha with cream its one of the best Should drop by for anytime coffee and very courteous staff,1
"We ordered all American burger and sandwiches it was not cooked properly The taste was bad
Dont ever order from this place
Its too pricey too",0
The ambiance of the place is really cozy and nice even though its a small place The waffles are really affordable and tasty Worth a visit,1
The burgers are not good No taste at all,0
dint get what was ordered and got less in quantity have ordered many times,0
"My goto place for an English breakkie at bangalore
Their hash browns and bacon are absolutely divine
I love their French toast and the pan cakes",1
waste of money,0
,1
Amazing place Very friendly staff Wide range of flavours of sheesha available Good ambiance Pretty cool hangout place for college students,1
great,1
"Good place to visit with friends Price of food is little bit high but taste is good
I ordered pasta shake fish and chips and fries Must visit",1
the delivery took a long time and burger was not hot,0
too late,0
The place is prefect if you want to have a nice long conversation or have your alone time and work or read something and have coffee and some snacks,1
Disappointing place for a Hookah parlour Needs a serious makeover with menu and ambience Food seems pretty OK but the portions are very small,0
the food wasnt good,0
good,1
Food was not tasty,0
Delicious food quickly served  the menu is great filled with numerous options and yummy desserts  Its a quiet nice place around the corner ,1
the death by chocolate cake is too hard and on an whole it sucks,0
I ordered Large but you guys gave me medium and regular pizza this not fair,0
Nice place to hangout with friends and amazing food and drink,1
Really a great place for English breakfast and u get great snacks liked the ambiancegood service will surely recommend people to try this place,1
the delivery took a long time and burger was not hot,0
pizza was not baked properly,0
Loved the classy ambience and their mocha with cream its one of the best Should drop by for anytime coffee and very courteous staff,1
Pepsi I got the small sizeand I had ordered for the medium size,0
good,1
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
the choco lava cake was cold very disappointing,0
Quantity can be increased,1
Nice small cozy place Mocha tasted great The fries tasted great and so was the pizza Everything tasted just perfect Would visit it again,1
,1
"Visited this place twice already and love the pastries here
Ambience is 50
Pastries 50
Food 4
Service 4

Service can improve a bit So overall 45",1
Pepsi I got the small sizeand I had ordered for the medium size,0
I dont know why ccd has not put any tissue paper,1
good,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
Amazing foodswaaaad hi aa gayamazza aa gaya malaysian noodles were the best Tarmarind sauce was amazingi love vaho kafe,1
Good food and hookah  Very pocket friendly and a fun spot to hang out in Btm layout Interiors are simple and nice Good staff and nice service,1
i ordered large pizza but it was just the small of a small pizza,0
writing review is waste,0
When I call for delivery they were behaved like non professionals,0
Ordered the chicken wholesome and caramel banana French toast Both were amazing Ideal place for a good breakfast The pancakes are good as well,1
Pathetic Waste of money,0
Nice place for birthday party hanging out chatting with friends celebrating birthdays food tasty food all types of foods place is good and nearby too,0
"Best place to hangout with friends
Specially liked the coffee and burger
Affordable prices and a very good service with wonderful ambience",1
Their shawarma is the best Havent really tried any other dishes of theirs yet Quantity is pretty less compared to the prices An average place,1
awesome food and great delivery,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
Ur food was delivered cold for me,0
I bet one would fall in love with the place at first sight  best cafe around marathalli  the food here is delicious  the ambience is perfect ,1
"As I entered this store with my friend s Awesome place and biriyani was very tasty and yummu 
Ambience was really great
Nice place overall",1
They sent some other product,0
Nice food and jovial owner Apt for ppl who want to dine in silence with books Sandwiches and veg omlete are particularly good Worth a try,1
Odered grilled sandwich and they gave toasted bread with uncooked cheese inside,0
Went there  Hot place not proper air conditioning  Staff was busy watching movie  Didnt bother to ask for order Walked out right away,0
A very good place to hangout Also indoor games are the best Rates are pocket friendly Fast service Milkshakes are the best,1
Pizzas were very good especially the thin crust Packaging was also nice,1
The pasta wasnt great The sandwich was awesome,1
Good food and hookah  Very pocket friendly and a fun spot to hang out in Btm layout Interiors are simple and nice Good staff and nice service,1
The burgers are not good No taste at all,0
Nice place for dine out The taste was like home I will definitely visit again and again It is among one of the favorite place where i love to eat,1
,1
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
Ur food was delivered cold for me,0
"The sandwich was filled with mayonnaise
Taste can be improved",0
Nice Ambience A Good place to hang out with friends Feels like sitting at a your own garden and enjoy a delicious treat Must to visit,1
The food and the music was really tastybut the quantity good have been a bit morethe staffs were cordial will surely visit again in near future,1
good,1
Ordered the chicken wholesome and caramel banana French toast Both were amazing Ideal place for a good breakfast The pancakes are good as well,1
"Ambiance is Classy 
Food is Amazing a little expensive
so many varieties in fast food
Service is good 

Good place to visit nd Hangout at ",1
I had a great experience with lovely and tasty dishes Specially the ambience is very great  Every1 shd try to taste out the best ,1
Enjoyed VERY NICE FOOD especially the grilled sandwich staff nd service was very goodI also liked the interiors of the cafe nd its ambience,1
Burger is awesome,1
very quick and on time delivery with good food,1
nyc place cheap aloo paratha n khichdi vry cheap place in kormangala luv to hve paratha while seated outside frnds cn hng out nyc place to chill,1
order not delivered,0
non veg smell in veg food,0
Ordered prawn biriyani The quality of rice and prawn was good It was light and tasty The quantity of gravy and raita can be increased though ,1
too bad taste,0
Tasty Yummy and good quantity food Best restaurant to order from,1
the delivery took a long time and burger was not hot,0
Ausum place to chill Great music great hukka and good food  Must try here  The staff was very courteous and responsive  Ambience is amazing,1
Awesome ambience and food Delicious omelettes and sandwiches at quite affordable prices Staff are friendly Best avocado smoothie I have ever had,1
Food is very yummy enjoyed a lot here very specious restaurant probably the best in this locality in terms of quality and also economic tooo thanks,1
Hot chocolate was delightful I loved it and my favourite a must try Had a discount on zomato and I got it for a great price and it was worth it,1
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
good,1
i ordered large pizza but it was just the small of a small pizza,0
I doubt if they really wash the coffee mugs Always dirty staff were very polite ,0
Items missing in the order Poor quality Worst experience,0
My favourite coffee getaway and in the heart of Bengaluru Cafe Mocha will always remain my favourite here Great place and great coffee 55,1
"The food was a big disappointment and the service was also very slow The place is not hygienic ad well

Food 25
Ambience 25
Service 25",0
I didnt get the food i ordered,0
Food and drinks are good Pizza was too delicious But the place lacks peoper ambience and service is a bit slow Otherwise its a good place to hit,1
Difficult to find taste in any of the food hereI will not recommend it for sure,0
Worst litti Ive had,0
awesome food and great delivery,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
,1
Nice place Can sit with a WiFi connection and a coffee for whole day working Good ambience Good service Try the ginger tea Its fantastic,1
on time,1
Milkshake quality was not up to the mark,0
Good place with amazing vibe pleasant and friendly staff Cafe has decent pricing and king size menu to choose your food from Worth visiting,1
Perfect place to spend a really good timeThumbs up for both tea and coffeeI come here everytime and enjoy my perfect cup of tea and snacks,1
The sandwiches served here are really good and healthy The staffs are cordial nd very helpfulLove to visit the cafe soon nd try the other stuffs,1
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
the death by chocolate cake is too hard and on an whole it sucks,0
Hukka was awesome The Arabic chicken Biriyani is very good taste Love the Ambience and service Would surly visit then again and again,1
I am amazed by the taste of this kullad chai had many chais at many places in BTM but this chai relives my soul ghar ke chai jaisa taste h,1
"Smoky pasta was all my favoriteLove to recommend
French fries was all good
Pizza could have been more better
Services here are quite responsive",0
Nice and quite cafe in the heart of the city Good place for a quite evening Tried there fries  Earl Grey Tea Double Shot Espresso Great service,1
Small place but still the ambience was fabulous I havent tried any food but different coffees and cookies A perfect place for break time,1
"Best food
Great service
Best part is these guys serve Indian combos as well And which are yummy too They hv enough space and great service",1
Worst restaurant 2rs bun coupled with 2 tomatoes and 2 cucumber and theyll charge you 130 Avoid at any cost even if youre extremely hungry,0
Good restaurant excellent locality I opposite of Oil had a juice here its great will update review free having dinner here,1
Place is very amazing price is low as well taste is very good Service is also awesome people working here are awesome Must visit once at least,1
According to me is the best place Best party hall etc etc if you come with our girlfriend or friends its most Entertainment place,1
"Perfect place for small budget eatouts
A tiny but cosy place Loved the food
No much options under drinks Only alcohol they serve is beer",1
non veg smell in veg food,0
Been here for an evening snack the interiors are well put up A nice comfy place The food was ok similar to what other smallys have on offer,1
Pathetic Waste of money,0
Always a welcoming place with the most amazing burgers in town I have tried some 45 burgers already and all taste great Highly recommend ,1
The burger didnt contained cheese at all,0
"What a great find
The ambience was nice food was pretty good and the prices just amazing
This place is Definitely going to my revisit list ",1
thank you for management team for positive response the chocolate brownie is too yum appreciated service,1
Burger is awesome,1
pizza was not baked properly,0
,1
peri peri fries were not as usual,0
Tasty Yummy and good quantity food Best restaurant to order from,1
I ordered Large but you guys gave me medium and regular pizza this not fair,0
dint get what was ordered and got less in quantity have ordered many times,0
"Great food relaxed ambiance perfect place to unwind with friends
Service was exceptional ",1
good,1
We have ordered pasta and chicken biriyani  quantity and quality was superb now regular for cafe graffiters  Taste really mindblowing,1
Need to arrive early to get a nice place to set Pricing is decent and food is good Mostly crowded for hookahs and mocktails with sandwiches,1
Bad taste,0
Nothing above average tbh  coffee shake is trash  delivery was horrendous,0
The breakfast was good the service was nice the price is ok the zomato gold works good and saves u a lot of money over all a good experience,1
Great coffee good burger bad sandwitch ,0
Loved the ambience menu aroma service and food here One of the nice place to visit in kormangla N yeah dis iz a lively place Must must try,1
Need to arrive early to get a nice place to set Pricing is decent and food is good Mostly crowded for hookahs and mocktails with sandwiches,1
Unhygienic and unhealthy place  got bowels issue after eating here  If anything this place should be called it should be called poopease ,0
The Ice cream wasnt even cold it was warm,0
food quality is very bad please never order pizza from this place,0
From the rain courtyard to the pots of coffee and tea and for a million other reasons this pretty cafe has got to be my most frequented place,1
great,1
happy,1
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
healthy yummy food at reasonable price definitely i would try it again worth the price Thanks to my colleague who ordered from this place,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
dint get what was ordered and got less in quantity have ordered many times,0
Good food and hookah  Very pocket friendly and a fun spot to hang out in Btm layout Interiors are simple and nice Good staff and nice service,1
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
good,1
Potato wedges taste too good,1
Food and drinks are good Pizza was too delicious But the place lacks peoper ambience and service is a bit slow Otherwise its a good place to hit,1
Been here for an evening snack the interiors are well put up A nice comfy place The food was ok similar to what other smallys have on offer,1
ordered medium but received small,0
"What a great find
The ambience was nice food was pretty good and the prices just amazing
This place is Definitely going to my revisit list ",1
I had the Thai curry ate it all so I dont have evidence the tiramisu is okay can be better Cozy nice place Good music Nice location,1
waste of money,0
Why not delivering in roopena agrahara near to silk board side  You will more consumers from here  kindly reply we are looking to hear from you,0
Nice place for birthday party hanging out chatting with friends celebrating birthdays food tasty food all types of foods place is good and nearby too,0
Missing items ordered,0
Pathetic Waste of money,0
very tasty burgersGood worth of money,1
good,1
order not delivered,0
awesome food and great delivery,1
"A very small beautiful place
I really loved it
Everything was so beautiful that I loved every bit of it I visited Church Street Lasagna was OMG",1
Its very calm and peaceful place it will be a good choice for date ambiance is good I loved coffee over here Italian dishes are delicious,1
